source-ref,class-name,top,left,height,width
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081738.jpg,inanimate,135,152,259,195
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081738.jpg,person,143,464,139,176
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119452.jpg,inanimate,83,333,161,223
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119452.jpg,inanimate,164,210,112,162
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119452.jpg,inanimate,175,18,299,300
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119516.jpg,person,200,373,156,41
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119516.jpg,inanimate,182,90,51,61
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,animal,398,118,57,62
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,animal,390,238,54,70
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,animal,386,314,88,135
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,animal,384,487,74,93
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,animal,388,588,48,52
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,person,348,123,40,63
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,person,345,248,40,76
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,person,338,374,44,52
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,person,347,498,23,44
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,person,358,590,24,50
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119641.jpg,inanimate,159,176,37,36
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119828.jpg,animal,154,120,163,325
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000119828.jpg,inanimate,12,8,80,113
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148957.jpg,inanimate,63,186,135,226
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148957.jpg,inanimate,188,214,191,220
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148957.jpg,inanimate,43,395,169,194
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148957.jpg,inanimate,216,447,212,153
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148957.jpg,inanimate,90,70,159,176
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148957.jpg,inanimate,258,41,190,233
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148999.jpg,person,90,494,114,80
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148999.jpg,person,113,419,100,78
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148999.jpg,person,150,290,84,67
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148999.jpg,person,177,244,83,65
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000148999.jpg,inanimate,306,218,91,384
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000149222.jpg,inanimate,186,231,111,83
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000149222.jpg,inanimate,244,45,98,112
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000149222.jpg,inanimate,283,390,70,77
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000149222.jpg,inanimate,4,36,223,258
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150417.jpg,person,75,148,147,143
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150417.jpg,person,195,449,223,185
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150417.jpg,inanimate,280,260,112,144
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150638.jpg,person,0,187,99,171
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150638.jpg,inanimate,62,190,184,99
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150638.jpg,inanimate,80,512,162,86
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150638.jpg,inanimate,281,138,123,138
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150649.jpg,person,144,104,118,77
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150649.jpg,person,23,105,101,157
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150649.jpg,person,28,298,108,93
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000150649.jpg,person,132,446,156,51
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000175364.jpg,inanimate,73,431,54,162
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000175364.jpg,inanimate,72,93,70,204
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000175364.jpg,inanimate,297,213,137,308
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000175387.jpg,inanimate,120,164,202,126
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000175387.jpg,inanimate,4,253,62,104
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000175387.jpg,inanimate,12,85,131,88
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000176446.jpg,inanimate,76,499,41,112
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000176446.jpg,inanimate,69,29,127,212
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000176606.jpg,animal,92,223,269,213
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000176606.jpg,inanimate,194,79,53,90
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000176606.jpg,person,181,19,171,50
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000176634.jpg,animal,30,242,404,228
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000196442.jpg,person,154,92,118,166
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000196442.jpg,animal,332,308,50,57
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000196442.jpg,inanimate,271,277,61,50
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000196442.jpg,inanimate,242,93,62,112
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000196843.jpg,inanimate,258,446,152,121
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000196843.jpg,animal,120,391,94,93
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000197004.jpg,inanimate,208,144,166,302
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000197004.jpg,inanimate,8,152,85,186
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000197004.jpg,inanimate,22,522,118,103
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000263403.jpg,person,42,309,158,138
