source-ref,semantic-segmentation-ref,color_map
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000037689.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/11_2026-01-13T22:09:08.424028.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000037740.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/12_2026-01-13T22:05:47.971908.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000037751.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/13_2026-01-13T22:17:54.285237.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000047769.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/14_2026-01-13T22:14:20.356394.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000047801.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/15_2026-01-13T22:14:20.193445.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000047819.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/16_2026-01-13T22:11:13.596000.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000047828.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/17_2026-01-13T22:17:54.649978.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000048153.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/18_2026-01-13T22:14:20.542297.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000064462.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/19_2026-01-13T22:04:21.548914.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000064495.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/20_2026-01-13T22:16:15.096085.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000064499.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/21_2026-01-13T22:11:13.385497.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000064523.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/22_2026-01-13T22:05:48.141349.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000064574.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/23_2026-01-13T22:01:10.411134.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000082696.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/24_2026-01-13T22:09:08.572235.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000082715.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/25_2026-01-13T22:14:20.785800.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000082765.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/26_2026-01-13T22:16:15.938584.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000082807.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/27_2026-01-13T22:09:08.163565.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000082812.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/28_2026-01-13T22:17:54.786140.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000550471.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/29_2026-01-13T22:04:21.020877.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
